student_id,college_id,name,gender,department,batch_year,cgpa,skills,email,phone,city,placement_status
44,86,Anthony Verma,Male,Mechanical Engineering,2023,5.61,"Kubernetes, Java, DevOps",anthony.verma44@placemux-student.com,7007661771,Amritsar,Placed
45,30,Dev Maharaj,Male,Computer Science,2027,7.42,"Python, Data Analysis, AWS",dev.maharaj45@placemux-student.com,6984789611,Ambattur,In Process
46,27,Triveni Nori,Female,Commerce,2024,7.84,"Data Analysis, React, Deep Learning, Machine Learning",triveni.nori46@placemux-student.com,6615654527,Bhiwani,Placed
47,21,Chanakya Pradhan,Male,Information Technology,2027,10.0,"Excel, DevOps, Node.js, Machine Learning, Kubernetes, React",chanakya.pradhan47@placemux-student.com,8098851656,Nagercoil,Placed
48,69,Charles Tripathi,Male,Data Science,2024,7.59,"Communication, Product Management, Django",charles.tripathi48@placemux-student.com,2731585149,Narasaraopet,Placed
49,48,Kiaan Balakrishnan,Male,Civil Engineering,2027,6.43,"Product Management, Data Analysis, Machine Learning",kiaan.balakrishnan49@placemux-student.com,4455022961,Gandhinagar,Placed
50,93,Ubika Setty,Female,Business Administration,2026,7.98,"Product Management, Java, DevOps",ubika.setty50@placemux-student.com,2545991022,Mango,In Process
51,6,Simon Sunder,Male,Artificial Intelligence & ML,2023,7.38,"SQL, Docker, C++, Python, Power BI",simon.sunder51@placemux-student.com,6438156149,Muzaffarnagar,In Process
52,99,Siya Bhakta,Female,Business Administration,2025,8.24,"DevOps, Tableau, React, Power BI, Node.js, Digital Marketing",siya.bhakta52@placemux-student.com,3432445107,Katihar,Placed
53,63,Jyoti Tella,Other,Mechanical Engineering,2023,6.55,"Kubernetes, Deep Learning, Tableau, Power BI, Excel, Node.js, Docker",jyoti.tella53@placemux-student.com,1606071596,Raipur,Placed
54,67,Samaksh Bail,Male,Computer Science,2026,6.9,"Tableau, Data Analysis, Digital Marketing, Django, C++",samaksh.bail54@placemux-student.com,2975161369,Tirupati,In Process
55,25,Omkaar Kant,Male,Electrical Engineering,2025,8.6,"Node.js, Deep Learning, AWS, DevOps, Excel",omkaar.kant55@placemux-student.com,2181883552,Davanagere,Placed
56,46,Harini Dua,Female,Data Science,2026,7.16,"Excel, Kubernetes, Python, Docker, AWS, Java, Machine Learning",harini.dua56@placemux-student.com,2779979955,Mango,In Process
57,32,Max Maharaj,Male,Mechanical Engineering,2026,6.35,"Data Analysis, Deep Learning, Product Management, Tableau, Python, Java, React",max.maharaj57@placemux-student.com,5814770054,Surendranagar Dudhrej,Placed
58,2,Ansh Sengupta,Male,Business Administration,2027,8.89,"Communication, Product Management, DevOps, Deep Learning",ansh.sengupta58@placemux-student.com,5978207151,Bahraich,Placed
59,33,Theodore Viswanathan,Male,Civil Engineering,2025,7.92,"Power BI, Kubernetes, C++, DevOps, Tableau",theodore.viswanathan59@placemux-student.com,5546659051,Anantapuram,In Process
60,42,Lajita Doctor,Female,Business Administration,2024,6.77,"Data Analysis, Machine Learning, AWS, C++, Product Management",lajita.doctor60@placemux-student.com,1925462914,Hajipur,Placed
61,99,Charita Sampath,Female,Commerce,2025,8.16,"AWS, Deep Learning, Excel, Docker",charita.sampath61@placemux-student.com,0542357332,Guna,Placed
62,7,Anirudh Nayar,Male,Electrical Engineering,2024,6.06,"AWS, Communication, Data Analysis",anirudh.nayar62@placemux-student.com,9622292706,Sultan Pur Majra,In Process
63,45,Jackson Walla,Male,Computer Science,2027,6.94,"Python, Kubernetes, React, Excel, Java",jackson.walla63@placemux-student.com,4735977468,Mahbubnagar,In Process
64,15,Ekantika Krishna,Female,Artificial Intelligence & ML,2026,7.37,"React, Deep Learning, Machine Learning, Python, Communication",ekantika.krishna64@placemux-student.com,7581814124,Mysore,In Process
65,66,Indrajit Seshadri,Male,Information Technology,2026,9.39,"C++, Node.js, Java, Excel, Deep Learning, Kubernetes",indrajit.seshadri65@placemux-student.com,0606853615,Thanjavur,Placed
66,58,Elijah Devan,Male,Commerce,2025,6.82,"SQL, Product Management, Java, React, Docker, Django",elijah.devan66@placemux-student.com,4727790104,Bhubaneswar,Placed
67,22,Maanas Khanna,Male,Data Science,2027,7.09,"Data Analysis, Machine Learning, Kubernetes",maanas.khanna67@placemux-student.com,1036971179,Asansol,In Process
68,70,Madhav Sanghvi,Male,Civil Engineering,2027,7.58,"Digital Marketing, Data Analysis, Docker, Django, Tableau, Deep Learning, Product Management",madhav.sanghvi68@placemux-student.com,9539621851,Pali,Placed
69,60,Wahab Bassi,Male,Mechanical Engineering,2025,8.47,"Communication, Product Management, Java, Machine Learning, AWS, C++",wahab.bassi69@placemux-student.com,5405153195,Akola,In Process
70,5,Vincent Srinivas,Male,Business Administration,2023,6.99,"Node.js, Data Analysis, Digital Marketing",vincent.srinivas70@placemux-student.com,2170430305,Nizamabad,Placed
71,6,Andrew Halder,Male,Civil Engineering,2023,7.55,"Python, Power BI, Tableau, Deep Learning",andrew.halder71@placemux-student.com,5054156676,Arrah,In Process
72,55,Kiaan Butala,Male,Mechanical Engineering,2025,6.85,"Communication, Digital Marketing, Tableau, SQL",kiaan.butala72@placemux-student.com,1692845115,Rourkela,Placed
73,16,Tristan Panchal,Male,Electronics & Communication,2023,7.52,"AWS, Power BI, Machine Learning, Data Analysis, React, Tableau, Deep Learning",tristan.panchal73@placemux-student.com,0596401658,Visakhapatnam,In Process
74,17,Dev Bhavsar,Male,Artificial Intelligence & ML,2023,7.94,"Node.js, Communication, Product Management",dev.bhavsar74@placemux-student.com,5569092755,Bettiah,Not Placed
75,19,Qadim Rao,Male,Information Technology,2027,6.71,"Communication, Django, Excel, Docker, Deep Learning, Data Analysis",qadim.rao75@placemux-student.com,4310278681,Pudukkottai,Placed
76,62,Luke Swaminathan,Male,Computer Science,2023,7.39,"Power BI, C++, Excel",luke.swaminathan76@placemux-student.com,1217271551,Sangli-Miraj & Kupwad,In Process
77,9,Harita Pathak,Female,Commerce,2023,7.13,"Product Management, Digital Marketing, Python, Excel",harita.pathak77@placemux-student.com,1323705895,Amritsar,Placed
78,34,Nilima Rao,Female,Electronics & Communication,2027,7.66,"Deep Learning, Docker, Tableau, Excel",nilima.rao78@placemux-student.com,8669125177,Bikaner,In Process
79,48,Tarak Thakkar,Male,Electrical Engineering,2023,7.77,"Deep Learning, SQL, Digital Marketing, DevOps, Power BI, Node.js",tarak.thakkar79@placemux-student.com,1824225358,Suryapet,Placed
80,69,Mahika Dass,Female,Data Science,2027,9.74,"C++, Power BI, Deep Learning, Communication",mahika.dass80@placemux-student.com,9818299229,Bhopal,Not Placed
81,67,Chaitaly Bath,Female,Civil Engineering,2025,6.77,"Tableau, SQL, C++",chaitaly.bath81@placemux-student.com,3969078447,Srinagar,In Process
82,57,Bhanumati Dugar,Female,Business Administration,2026,6.22,"Django, Docker, Python",bhanumati.dugar82@placemux-student.com,6773592555,Imphal,In Process
83,92,Jai Shukla,Male,Artificial Intelligence & ML,2023,7.94,"Java, AWS, Docker, DevOps, Deep Learning, C++",jai.shukla83@placemux-student.com,4732104696,Jhansi,In Process
84,90,Fariq Tara,Male,Artificial Intelligence & ML,2026,8.27,"Excel, Kubernetes, React, Communication",fariq.tara84@placemux-student.com,7470168733,Ichalkaranji,In Process
85,85,Yachana Singhal,Female,Civil Engineering,2027,6.21,"Python, Data Analysis, Node.js",yachana.singhal85@placemux-student.com,8016245650,Mirzapur,In Process
86,23,Maanas Borah,Male,Mechanical Engineering,2023,7.39,"Kubernetes, Power BI, SQL",maanas.borah86@placemux-student.com,8784991216,Asansol,Placed
87,69,Hardik Upadhyay,Male,Artificial Intelligence & ML,2026,7.18,"Machine Learning, React, Deep Learning, Communication, Excel, AWS",hardik.upadhyay87@placemux-student.com,8000257872,Pudukkottai,Placed
88,19,Nathaniel Gaba,Male,Mechanical Engineering,2027,8.02,"Tableau, Kubernetes, React, Django",nathaniel.gaba88@placemux-student.com,9495888794,Bhubaneswar,In Process
89,1,Sathvik Morar,Male,Business Administration,2025,9.43,"React, SQL, Excel, Power BI, C++, Tableau, Django",sathvik.morar89@placemux-student.com,9749930972,Latur,In Process
90,80,Anamika Choudhary,Female,Electronics & Communication,2026,7.91,"Communication, Digital Marketing, Deep Learning",anamika.choudhary90@placemux-student.com,0756263689,Kishanganj,In Process
91,92,Omaja Sridhar,Female,Mechanical Engineering,2024,8.15,"Deep Learning, DevOps, C++, Django, Tableau, Digital Marketing, Node.js",omaja.sridhar91@placemux-student.com,5278585497,Kamarhati,Placed
92,50,Neha Mani,Female,Data Science,2026,7.63,"Django, Data Analysis, Power BI, Java, C++, DevOps, Product Management",neha.mani92@placemux-student.com,7575844198,Ramagundam,In Process
93,33,Anvi Mani,Female,Commerce,2025,9.63,"Deep Learning, Java, React, Docker",anvi.mani93@placemux-student.com,5747338484,Latur,In Process
94,67,Arya Wali,Female,Artificial Intelligence & ML,2023,5.55,"Tableau, Machine Learning, Docker",arya.wali94@placemux-student.com,3016571208,Kollam,In Process
95,40,Mitali Nagi,Female,Civil Engineering,2025,7.01,"Power BI, React, SQL, Deep Learning",mitali.nagi95@placemux-student.com,0193802620,Agra,In Process
96,26,Aayush Misra,Male,Artificial Intelligence & ML,2027,7.71,"Django, SQL, C++, Digital Marketing, Kubernetes, Deep Learning, DevOps",aayush.misra96@placemux-student.com,5478872874,Berhampore,Not Placed
97,34,Lavanya Grewal,Female,Civil Engineering,2024,7.47,"Digital Marketing, SQL, Data Analysis",lavanya.grewal97@placemux-student.com,5493296685,Kolhapur,In Process
98,75,Waida Naik,Female,Artificial Intelligence & ML,2024,5.78,"Power BI, Machine Learning, Product Management",waida.naik98@placemux-student.com,0463745499,Ghaziabad,Placed
99,36,Dhriti Shroff,Female,Electrical Engineering,2025,7.95,"Python, Java, C++, Product Management, Communication",dhriti.shroff99@placemux-student.com,2684145933,Medininagar,Not Placed
100,73,Rachit Sagar,Male,Electronics & Communication,2023,7.42,"React, Data Analysis, Docker, Power BI, Node.js, SQL",rachit.sagar100@placemux-student.com,8339187851,Chapra,Placed
101,99,Falguni Gala,Female,Civil Engineering,2026,7.48,"Django, Data Analysis, Deep Learning, React, Product Management, Kubernetes, C++",falguni.gala101@placemux-student.com,8713971870,Sirsa,Placed
102,96,Ayush Shere,Male,Artificial Intelligence & ML,2025,7.62,"Python, Tableau, Communication, Node.js, SQL",ayush.shere102@placemux-student.com,0640391065,Chittoor,Placed
103,62,Amol Mangat,Male,Artificial Intelligence & ML,2023,5.97,"Communication, Power BI, Excel, Tableau, Digital Marketing, Machine Learning, AWS",amol.mangat103@placemux-student.com,2265676618,Siwan,In Process
104,23,Shravya Wadhwa,Female,Civil Engineering,2023,7.86,"Django, Product Management, DevOps, Communication",shravya.wadhwa104@placemux-student.com,3004786863,Bally,In Process
105,30,Ijaya Chowdhury,Female,Mechanical Engineering,2027,7.51,"Excel, Python, Java, Deep Learning, Communication, Django",ijaya.chowdhury105@placemux-student.com,6903311907,Rewa,In Process
106,86,Urvashi Kaur,Female,Computer Science,2025,8.43,"Data Analysis, AWS, Excel, React, Machine Learning",urvashi.kaur106@placemux-student.com,0284395995,Haridwar,In Process
107,19,Mason Maharaj,Male,Civil Engineering,2025,7.82,"Java, Product Management, DevOps, React, SQL, Tableau",mason.maharaj107@placemux-student.com,8926870568,Dewas,In Process
108,83,Riya Gour,Female,Electronics & Communication,2025,7.37,"Node.js, AWS, React, DevOps, Excel, Power BI",riya.gour108@placemux-student.com,3342708668,Rohtak,In Process
109,16,Harsh Narayanan,Male,Mechanical Engineering,2026,5.71,"Communication, C++, Machine Learning, Tableau, SQL, Deep Learning",harsh.narayanan109@placemux-student.com,7518304699,Nangloi Jat,Placed
110,85,Hemang Natarajan,Male,Artificial Intelligence & ML,2025,7.05,"DevOps, SQL, Django, Python, Excel, Deep Learning, Java",hemang.natarajan110@placemux-student.com,0331739363,Kirari Suleman Nagar,Placed
111,23,Rachita Morar,Female,Artificial Intelligence & ML,2023,7.16,"Product Management, Django, DevOps, Machine Learning, Data Analysis",rachita.morar111@placemux-student.com,5877175355,Ulhasnagar,Placed
112,58,Adweta Lal,Female,Civil Engineering,2026,7.75,"Kubernetes, C++, Data Analysis, SQL, Tableau, Deep Learning, DevOps",adweta.lal112@placemux-student.com,4235369378,Jaunpur,In Process
113,95,Frado Pandey,Male,Civil Engineering,2026,9.31,"React, Java, Product Management",frado.pandey113@placemux-student.com,2872808010,Jabalpur,Placed
114,9,Forum Andra,Female,Electronics & Communication,2026,7.9,"Machine Learning, Data Analysis, Kubernetes",forum.andra114@placemux-student.com,8750997700,Pune,In Process
115,17,Zilmil Maharaj,Female,Information Technology,2026,7.07,"DevOps, Kubernetes, Power BI, React, Product Management, C++",zilmil.maharaj115@placemux-student.com,0862118233,Shimoga,Not Placed
116,66,Sneha Brar,Female,Mechanical Engineering,2025,7.7,"Power BI, Excel, Java, DevOps, AWS, Data Analysis, Tableau",sneha.brar116@placemux-student.com,6793341016,Pimpri-Chinchwad,Placed
117,37,Aayush Garg,Male,Computer Science,2026,7.95,"DevOps, Kubernetes, Digital Marketing",aayush.garg117@placemux-student.com,7659180339,Parbhani,In Process
118,86,Anamika Gola,Female,Commerce,2023,6.04,"AWS, Machine Learning, Tableau, SQL, Digital Marketing",anamika.gola118@placemux-student.com,0392614293,Yamunanagar,In Process
119,71,Ekiya Brar,Female,Commerce,2024,6.78,"C++, Data Analysis, React",ekiya.brar119@placemux-student.com,0163159996,Pallavaram,Placed
120,54,Jhalak Parekh,Female,Mechanical Engineering,2025,7.29,"Kubernetes, AWS, Product Management",jhalak.parekh120@placemux-student.com,6296194311,Pali,In Process
121,74,Nitara Patel,Female,Electronics & Communication,2027,7.2,"Digital Marketing, Python, Excel, React",nitara.patel121@placemux-student.com,1047541212,Kota,In Process
122,58,Agastya Chakraborty,Male,Electrical Engineering,2024,7.5,"Node.js, Machine Learning, Python, React, Kubernetes",agastya.chakraborty122@placemux-student.com,8199560466,Nadiad,Placed
123,72,Hamsini Dewan,Female,Data Science,2027,7.82,"C++, Python, Node.js, Excel, Java, SQL, DevOps",hamsini.dewan123@placemux-student.com,4472126464,Shahjahanpur,In Process
124,77,Yachana Hayre,Female,Electrical Engineering,2027,6.67,"SQL, Deep Learning, Tableau",yachana.hayre124@placemux-student.com,1240659657,Dewas,In Process
125,63,Naveen Iyer,Male,Business Administration,2025,6.65,"Machine Learning, Tableau, Docker, Data Analysis, Java, DevOps, Django",naveen.iyer125@placemux-student.com,5265479356,Phusro,Placed
126,6,Harish Gole,Male,Information Technology,2026,7.45,"Python, Java, Deep Learning, Django, Power BI, C++",harish.gole126@placemux-student.com,7374167243,Srinagar,In Process
127,45,Vanya Srinivas,Female,Civil Engineering,2027,7.57,"SQL, Digital Marketing, C++, React, Product Management, Deep Learning",vanya.srinivas127@placemux-student.com,8868058911,Phusro,In Process
128,36,Sudiksha Narula,Other,Commerce,2026,8.48,"Kubernetes, C++, Django, Docker, Communication, Data Analysis, Excel",sudiksha.narula128@placemux-student.com,1014388899,Madhyamgram,In Process
129,20,Yamini Dora,Female,Data Science,2026,6.8,"Machine Learning, Kubernetes, AWS",yamini.dora129@placemux-student.com,0714611254,Karnal,In Process
130,54,Vyanjana Chatterjee,Other,Data Science,2023,6.53,"Power BI, C++, Tableau, Django",vyanjana.chatterjee130@placemux-student.com,7514010512,Bathinda,Placed
131,16,Unni Shere,Female,Artificial Intelligence & ML,2023,7.87,"Power BI, C++, Excel, DevOps, React",unni.shere131@placemux-student.com,6226609379,Tiruppur,Placed
132,16,Maya Bhatnagar,Female,Information Technology,2025,7.71,"SQL, Digital Marketing, Power BI",maya.bhatnagar132@placemux-student.com,8255371478,Dharmavaram,In Process
133,76,Deepa Pall,Female,Information Technology,2026,7.19,"Kubernetes, Java, Digital Marketing, C++",deepa.pall133@placemux-student.com,7924991251,Dindigul,Placed
134,36,Ekavir Vaidya,Male,Information Technology,2027,6.76,"Power BI, Java, Communication, Kubernetes, DevOps",ekavir.vaidya134@placemux-student.com,6929662782,Kolhapur,Placed
135,58,Girik Murty,Male,Business Administration,2025,6.74,"AWS, React, Deep Learning, Data Analysis, Machine Learning, Node.js, Power BI",girik.murty135@placemux-student.com,9050723688,Raiganj,Placed
136,100,Yash Ganesh,Male,Data Science,2027,6.62,"Excel, Product Management, Data Analysis",yash.ganesh136@placemux-student.com,9034043842,Chapra,In Process
137,63,Deepa Loyal,Other,Civil Engineering,2025,5.59,"Digital Marketing, Kubernetes, Python, Excel, Product Management, SQL, React",deepa.loyal137@placemux-student.com,8078361340,Bahraich,Placed
138,92,Dhriti Khalsa,Female,Electronics & Communication,2023,7.86,"Python, Node.js, React, Django, SQL",dhriti.khalsa138@placemux-student.com,9596292330,Kavali,In Process
139,13,Frado Naik,Male,Data Science,2026,6.18,"Docker, AWS, Django",frado.naik139@placemux-student.com,4948126042,Shahjahanpur,In Process
140,5,Shravya Suri,Female,Computer Science,2024,9.33,"Node.js, DevOps, Communication, C++, SQL",shravya.suri140@placemux-student.com,9466711684,Amaravati,Placed
141,33,Aarav Chander,Male,Artificial Intelligence & ML,2026,7.39,"Digital Marketing, Java, SQL, Excel",aarav.chander141@placemux-student.com,5186363745,Buxar,In Process
142,11,Watika Oza,Other,Business Administration,2023,9.03,"Digital Marketing, Tableau, Power BI, Excel, AWS, Django",watika.oza142@placemux-student.com,0170127706,Panipat,Placed
143,63,Charita Patel,Female,Computer Science,2024,8.65,"Power BI, Machine Learning, Communication, Deep Learning, Kubernetes",charita.patel143@placemux-student.com,1520643611,Mira-Bhayandar,In Process
144,33,Jeevika Venkataraman,Female,Electronics & Communication,2025,7.12,"Digital Marketing, Java, Python, AWS, Communication, Machine Learning",jeevika.venkataraman144@placemux-student.com,0051627136,Arrah,In Process
145,99,Mason Devan,Male,Electronics & Communication,2024,7.72,"C++, Machine Learning, Python, Deep Learning, Power BI",mason.devan145@placemux-student.com,2218909275,Bellary,In Process
146,5,Caleb Chaudhry,Male,Computer Science,2026,7.02,"Kubernetes, Data Analysis, Docker, DevOps, SQL, AWS",caleb.chaudhry146@placemux-student.com,1965652341,Indore,Placed
147,53,Nidhi Jha,Other,Commerce,2026,9.1,"Tableau, SQL, C++",nidhi.jha147@placemux-student.com,6403761379,Ratlam,In Process
148,83,Ekaja Ram,Female,Electronics & Communication,2027,8.1,"Django, Power BI, Communication, Machine Learning, Digital Marketing, Python, Node.js",ekaja.ram148@placemux-student.com,5827109104,Guna,Placed
149,78,Luke Thaker,Male,Commerce,2026,6.84,"DevOps, SQL, Power BI, Machine Learning, Data Analysis, AWS",luke.thaker149@placemux-student.com,6618892414,Jorhat,Placed
150,4,Nihal Raman,Male,Electronics & Communication,2023,6.72,"SQL, Django, Communication, C++, Data Analysis, Node.js, Product Management",nihal.raman150@placemux-student.com,4630316179,Jamshedpur,Placed
151,32,Abeer Devan,Male,Electronics & Communication,2024,7.5,"Machine Learning, Docker, Product Management, AWS, DevOps, Node.js, Deep Learning",abeer.devan151@placemux-student.com,2758842524,Darbhanga,In Process
152,3,Azad Lall,Male,Electronics & Communication,2027,7.07,"React, Excel, AWS",azad.lall152@placemux-student.com,7785079252,Ambattur,In Process
153,12,Aarav Basu,Male,Commerce,2027,6.94,"SQL, Node.js, Deep Learning, Tableau",aarav.basu153@placemux-student.com,3075622086,Imphal,In Process
154,85,Krishna Brahmbhatt,Male,Artificial Intelligence & ML,2026,10.0,"Product Management, C++, Digital Marketing, React, Tableau, Java",krishna.brahmbhatt154@placemux-student.com,1802380617,Begusarai,Placed
155,75,Vasatika Anand,Female,Civil Engineering,2026,7.07,"Excel, Product Management, Java, DevOps, SQL",vasatika.anand155@placemux-student.com,3494937597,Chennai,In Process
156,38,Samarth Bajwa,Male,Information Technology,2027,7.16,"Java, Digital Marketing, DevOps, Communication, SQL, C++",samarth.bajwa156@placemux-student.com,8505064138,Ajmer,Placed
157,82,Meera Chander,Female,Commerce,2024,6.32,"Docker, Django, Tableau, Java, Kubernetes, Deep Learning, Product Management",meera.chander157@placemux-student.com,3865719182,Raebareli,In Process
158,52,Eiravati Khalsa,Female,Artificial Intelligence & ML,2023,5.46,"Digital Marketing, Deep Learning, Docker, React, Java",eiravati.khalsa158@placemux-student.com,4565574313,Aligarh,In Process
